deflatortype,Deflators
AD 1999,0.878348667
AE 1999,0.452991566
AF 1999,1
AG 1999,0.712693755
AI 1999,0.955462284
AL 1999,0.517747902
AM 1999,0.465760033
AO 1999,0.173045051
AQ 1999,1.022354497
AR 1999,0.790003893
AS 1999,1.022354497
AT 1999,0.876744365
AU 1999,0.934547913
AW 1999,0.674025608
AX 1999,0.879041631
AZ 1999,0.493335941
BA 1999,0.459239433
BB 1999,0.66968432
BD 1999,0.553851222
BE 1999,0.882447045
BF 1999,0.604618653
BG 1999,0.363679012
BH 1999,0.417448828
BI 1999,0.414101844
BJ 1999,0.585474245
BL 1999,0.878348667
BM 1999,0.955462284
BN 1999,0.404591832
BO 1999,0.437836136
BQ 1999,0.894287779
BR 1999,0.499378104
BS 1999,0.759159529
BT 1999,0.648486053
BV 1999,1.023146457
BW 1999,0.666849565
BY 1999,0.480854702
BZ 1999,0.812743956
CA 1999,1.043692529
CC 1999,0.934547913
CD 1999,0.216619217
CF 1999,0.503944781
CG 1999,0.39524041
CH 1999,0.904094382
CI 1999,0.507206438
CK 1999,0.87802664
CL 1999,0.498359612
CM 1999,0.639910225
CN 1999,0.426249776
CO 1999,0.496440907
CR 1999,0.501880947
CU 1999,0.622507902
CV 1999,0.781377589
CW 1999,0.889037371
CX 1999,0.934547913
CY 1999,0.665560548
CZ 1999,0.910791922
DE 1999,0.861133347
DJ 1999,1
DK 1999,0.889037371
DM 1999,0.746315494
DO 1999,0.639191923
DZ 1999,0.538745134
EC 1999,0.328252185
EE 1999,0.368216202
EG 1999,0.812738674
EH 1999,0.755196927
ER 1999,0.155574163
ES 1999,0.893287365
ET 1999,0.454219175
EU Institutions 1999,0.876727274
FI 1999,0.879041631
FJ 1999,0.570867989
FK 1999,0.955462284
FM 1999,0.613909945
FO 1999,0.889037371
FR 1999,0.878348667
GA 1999,0.376447609
GB 1999,0.955462284
GD 1999,0.686225168
GE 1999,0.420626251
GF 1999,0.878348667
GG 1999,0.955462284
GH 1999,0.351552214
GI 1999,0.955462284
GL 1999,0.889037371
GM 1999,0.859033987
GN 1999,0.701240956
GP 1999,0.878348667
GQ 1999,0.291551949
GR 1999,0.82235713
GS 1999,0.955462284
GT 1999,0.445958694
GU 1999,1.022354497
GW 1999,0.278811021
GY 1999,0.302749027
HK 1999,0.922487816
HM 1999,0.934547913
HN 1999,0.55303125
HR 1999,0.532634581
HT 1999,0.557600146
HU 1999,1
ID 1999,0.341653695
IE 1999,0.924270205
IL 1999,0.598828527
IM 1999,0.955462284
IN 1999,0.581041221
IO 1999,0.955462284
IQ 1999,1
IR 1999,1.163617594
