deflatortype,Deflators
IS 1999,0.953936605
IT 1999,0.881952586
JE 1999,0.955462284
JM 1999,0.649001678
JO 1999,0.462836729
JP 1999,1.041966407
KE 1999,0.334876486
KG 1999,0.349129753
KH 1999,0.621481589
KI 1999,0.528108185
KM 1999,0.589069366
KN 1999,0.637346189
KP 1999,1
KR 1999,1.060985764
KW 1999,0.40397391
KY 1999,0.955462284
KZ 1999,0.311060522
LA 1999,0.304684435
LB 1999,0.60192235
LC 1999,0.58579577
LI 1999,0.904094382
LK 1999,0.469554067
LR 1999,1
LS 1999,0.622012566
LT 1999,0.414537178
LU 1999,0.883970038
LV 1999,0.431327352
LY 1999,0.748782402
MA 1999,0.755196927
MC 1999,0.878348667
MD 1999,0.218415307
ME 1999,1
MF 1999,0.878348667
MG 1999,0.467034362
MH 1999,0.653251225
MK 1999,0.518709771
ML 1999,0.493241009
MM 1999,1
MN 1999,0.273675348
MO 1999,0.443340427
MP 1999,1.022354497
MQ 1999,0.878348667
MR 1999,0.605111349
MS 1999,0.955462284
MT 1999,0.57445039
MU 1999,0.650808447
MV 1999,0.291790406
MW 1999,0.544611927
MX 1999,0.744673024
MY 1999,0.572483091
MZ 1999,1.488876163
NA 1999,0.581428882
NC 1999,0.878348667
NE 1999,0.495102235
NF 1999,0.934547913
NG 1999,0.429609313
NI 1999,0.786207311
NL 1999,0.894287779
NO 1999,1.023146457
NP 1999,0.379597897
NR 1999,1
NU 1999,0.87802664
NZ 1999,0.87802664
OM 1999,0.368779867
PA 1999,0.564681298
PE 1999,0.545168828
PF 1999,0.878348667
PG 1999,0.320791537
PH 1999,0.653298879
PK 1999,0.442652242
PL 1999,0.979055385
PM 1999,0.878348667
PN 1999,0.955462284
PR 1999,0.621106956
PS 1999,0.556335939
PT 1999,0.894865907
PW 1999,1
PY 1999,0.400547331
QA 1999,0.311523469
RE 1999,0.878348667
RO 1999,0.30115444
RS 1999,0.619750244
RU 1999,0.244834772
RW 1999,0.768863242
SA 1999,0.377501678
SB 1999,0.531479237
SC 1999,0.685143685
SD 1999,0.668600163
SE 1999,0.915749787
SG 1999,0.637952305
SH 1999,0.955462284
SI 1999,1
SJ 1999,1.023146457
SK 1999,0.978281923
SL 1999,0.432247519
SM 1999,1
SN 1999,0.623173055
SO 1999,1
SR 1999,0.418776801
SS 1999,1
ST 1999,1
SV 1999,0.626756618
SX 1999,0.889037371
SY 1999,1
SZ 1999,0.581966612
TC 1999,0.955462284
TD 1999,0.425971134
TF 1999,0.878348667
TG 1999,0.581818601
TH 1999,0.5338069
TJ 1999,0.571752407
TK 1999,0.87802664
TL 1999,1
TM 1999,0.28943817
TN 1999,1.089073174
TO 1999,0.608971351
Total DAC 1999,0.957585885
TR 1999,0.791453352
TT 1999,0.562599879
TV 1999,0.440861038
TW 1999,1.046982997
TZ 1999,0.703051697
UA 1999,0.363040796
UG 1999,0.702127779
UM 1999,1.022354497
US 1999,1.022354497
UY 1999,0.642571934
UZ 1999,1.125832576
VA 1999,0.881952586
VC 1999,0.725463963
VE 1999,0.921172224
VG 1999,0.955462284
VI 1999,1.022354497
VN 1999,0.375174764
VU 1999,0.483360079
WF 1999,0.878348667
WS 1999,0.519959125
XK 1999,1
YE 1999,0.300815667
YT 1999,0.878348667
ZA 1999,0.631813457
ZM 1999,0.391910605
ZW 1999,0.222199218
AD 2000,0.991169701
AE 2000,0.543912351
AF 2000,1
AG 2000,0.744578962
AI 2000,0.959236574
AL 2000,0.49692999
AM 2000,0.46702573
AO 2000,0.251279455
AQ 2000,1.021934462
AR 2000,0.819649609
AS 2000,1.021934462
AT 2000,0.990550227
AU 2000,0.923781695
AW 2000,0.722816435
AX 2000,1.004157786
AZ 2000,0.528665583
BA 2000,0.492355093
BB 2000,0.691696779
BD 2000,0.550804618
BE 2000,0.992188504
BF 2000,0.494335442
BG 2000,0.385945246
BH 2000,0.547850183
BI 2000,0.450634874
BJ 2000,0.530867481
BL 2000,0.991169701
BM 2000,0.959236574
BN 2000,0.512196862
BO 2000,0.441912663
BQ 2000,1.012244846
BR 2000,0.543517663
BS 2000,0.744742781
BT 2000,0.629377527
BV 2000,0.994220141
BW 2000,0.641780294
BY 2000,0.48796768
BZ 2000,0.848446505
CA 2000,0.975023705
CC 2000,0.923781695
CD 2000,0.91679877
CF 2000,0.445075949
CG 2000,0.554979645
CH 2000,1.010711405
CI 2000,0.432202747
CK 2000,0.966133627
CL 2000,0.518309745
CM 2000,0.552513618
CN 2000,0.438360965
CO 2000,0.60060627
CR 2000,0.508483196
CU 2000,0.631712581
CV 2000,0.639458371
CW 2000,0.996501036
CX 2000,0.923781695
CY 2000,0.602960318
CZ 2000,1.06637303
DE 2000,0.98410514
DJ 2000,1
DK 2000,0.996501036
DM 2000,0.747509993
DO 2000,0.662427394
DZ 2000,0.588014775
EC 2000,0.321473881
EE 2000,0.365346074
EG 2000,0.843462674
EH 2000,0.697322645
ER 2000,0.138073489
ES 2000,1.01141135
ET 2000,0.462297519
EU Institutions 2000,0.995614033
FI 2000,1.004157786
FJ 2000,0.454977295
FK 2000,0.959236574
FM 2000,0.641709506
FO 2000,0.996501036
FR 2000,0.991169701
GA 2000,0.449264503
GB 2000,0.959236574
GD 2000,0.692596844
GE 2000,0.44648987
GF 2000,0.991169701
GG 2000,0.959236574
GH 2000,0.217370879
GI 2000,0.959236574
GL 2000,0.996501036
GM 2000,0.77584209
GN 2000,0.584563701
GP 2000,0.991169701
GQ 2000,0.39071676
GR 2000,0.981839464
GS 2000,0.959236574
GT 2000,0.452187355
GU 2000,1.021934462
GW 2000,0.455167595
GY 2000,0.301626229
HK 2000,0.931960568
HM 2000,0.923781695
HN 2000,0.616971422
HR 2000,0.497293474
HT 2000,0.516761272
HU 2000,1
ID 2000,0.399549731
IE 2000,1.037901886
IL 2000,0.656271846
IM 2000,0.959236574
IN 2000,0.544960346
IO 2000,0.959236574
IQ 2000,1
IR 2000,1.531999747
IS 2000,0.877912639
IT 2000,1.000755843
JE 2000,0.959236574
JM 2000,0.651979223
JO 2000,0.464656697
JP 2000,0.877443443
KE 2000,0.322490956
KG 2000,0.369344204
KH 2000,0.576608388
KI 2000,0.5225447
KM 2000,0.529302281
KN 2000,0.658354072
KP 2000,1
KR 2000,0.908145819
KW 2000,0.514958239
KY 2000,0.959236574
KZ 2000,0.328397094
LA 2000,0.33797025
LB 2000,0.600555409
LC 2000,0.577195916
LI 2000,1.010711405
LK 2000,0.469587986
LR 2000,0.394325722
LS 2000,0.601787145
LT 2000,0.440935336
LU 2000,0.975769426
LV 2000,0.442685265
LY 2000,0.796516808
MA 2000,0.697322645
MC 2000,0.991169701
MD 2000,0.248741059
ME 2000,0.300617505
MF 2000,0.991169701
MG 2000,0.465468455
MH 2000,0.667463958
MK 2000,0.485443922
ML 2000,0.400792137
MM 2000,0.707361775
MN 2000,0.285482703
MO 2000,0.470136488
MP 2000,1.021934462
MQ 2000,0.991169701
MR 2000,0.517017091
MS 2000,0.959236574
MT 2000,0.572333203
MU 2000,0.680915649
MV 2000,0.291187811
MW 2000,0.518885407
MX 2000,0.854722313
MY 2000,0.639155328
MZ 2000,1.257152077
NA 2000,0.564692519
NC 2000,0.991169701
NE 2000,0.443699874
NF 2000,0.923781695
NG 2000,0.499600136
NI 2000,0.77258757
NL 2000,1.012244846
NO 2000,0.994220141
NP 2000,0.396823362
NR 2000,1
NU 2000,0.966133627
NZ 2000,0.966133627
OM 2000,0.458489031
PA 2000,0.55118386
PE 2000,0.553807702
PF 2000,0.991169701
PG 2000,0.318960312
PH 2000,0.618732239
PK 2000,0.50146745
PL 2000,1.099654916
PM 2000,0.991169701
PN 2000,0.959236574
PR 2000,0.6286809
PS 2000,0.51889216
PT 2000,1.007879529
PW 2000,0.626602838
PY 2000,0.406951251
QA 2000,0.446426508
RE 2000,0.991169701
RO 2000,0.313227549
RS 2000,0.250618684
RU 2000,0.305049621
RW 2000,0.703468094
SA 2000,0.459690945
SB 2000,0.481881569
SC 2000,0.663802778
SD 2000,0.744106598
SE 2000,0.90781623
SG 2000,0.671875881
SH 2000,0.959236574
SI 2000,1
SJ 2000,0.994220141
SK 2000,1.006022519
SL 2000,0.418899545
SM 2000,1
SN 2000,0.533073796
SO 2000,1
SR 2000,0.454137687
SS 2000,1
ST 2000,1
SV 2000,0.640725651
SX 2000,0.996501036
SY 2000,1
SZ 2000,0.634752563
TC 2000,0.959236574
TD 2000,0.387086403
TF 2000,0.991169701
TG 2000,0.536063132
TH 2000,0.509352059
TJ 2000,0.436637321
TK 2000,0.966133627
TL 2000,0.49446796
TM 2000,0.294482466
TN 2000,0.961082718
TO 2000,0.603135682
Total DAC 2000,0.951001934
TR 2000,0.873949492
TT 2000,0.623709838
TV 2000,0.449661644
TW 2000,1.068921
TZ 2000,0.705504659
UA 2000,0.360092576
UG 2000,0.670882805
UM 2000,1.021934462
US 2000,1.021934462
UY 2000,0.623567324
UZ 2000,0.869711672
VA 2000,1.000755843
VC 2000,0.716335171
VE 2000,1.185555288
VG 2000,0.959236574
VI 2000,1.021934462
VN 2000,0.389151891
VU 2000,0.488965328
WF 2000,0.991169701
WS 2000,0.528863212
XK 2000,0.529142663
YE 2000,0.366173069
YT 2000,0.991169701
ZA 2000,0.615781465
ZM 2000,0.396097896
ZW 2000,0.218541509
AD 2001,1.074197288
AE 2001,0.485838572
AF 2001,1
AG 2001,0.673147835
AI 2001,1.064459931
AL 2001,0.523611658
AM 2001,0.488740098
AO 2001,0.238662536
AQ 2001,1.01581722
AR 2001,0.781089885
AS 2001,1.01581722
AT 2001,1.064640592
AU 2001,1.082019337
AW 2001,0.688593715
AX 2001,1.062555094
AZ 2001,0.515114089
BA 2001,0.487293277
BB 2001,0.66121651
BD 2001,0.5292064
BE 2001,1.070016483
BF 2001,0.519464801
BG 2001,0.394228802
BH 2001,0.515297909
BI 2001,0.457823678
BJ 2001,0.523152217
BL 2001,1.074197288
BM 2001,1.064459931
BN 2001,0.464807293
BO 2001,0.417940643
BQ 2001,1.09193073
BR 2001,0.44436937
BS 2001,0.736442155
BT 2001,0.638431454
BV 2001,1.107069264
BW 2001,0.596797097
BY 2001,0.447383061
BZ 2001,0.786604986
CA 2001,0.998511064
CC 2001,1.082019337
CD 2001,0.383778864
CF 2001,0.465089803
CG 2001,0.447697547
CH 2001,1.080756304
CI 2001,0.460914101
CK 2001,1.10875751
CL 2001,0.448606792
CM 2001,0.548760616
CN 2001,0.446762294
CO 2001,0.573754211
CR 2001,0.521285205
CU 2001,0.618231356
CV 2001,0.584223326
CW 2001,1.080140047
CX 2001,1.082019337
CY 2001,0.592496423
CZ 2001,1.192981724
DE 2001,1.066546409
DJ 2001,1
DK 2001,1.080140047
DM 2001,0.74517649
DO 2001,0.666623798
DZ 2001,0.566045406
EC 2001,0.424545727
EE 2001,0.364746799
EG 2001,0.775426572
EH 2001,0.694840493
ER 2001,0.167801676
ES 2001,1.095636156
ET 2001,0.435243559
EU Institutions 2001,1.078369011
FI 2001,1.062555094
FJ 2001,0.456247686
FK 2001,1.064459931
FM 2001,0.632323447
FO 2001,1.080140047
FR 2001,1.074197288
GA 2001,0.453459954
GB 2001,1.064459931
GD 2001,0.660828345
GE 2001,0.461662114
GF 2001,1.074197288
GG 2001,1.064459931
GH 2001,0.223576164
GI 2001,1.064459931
GL 2001,1.080140047
GM 2001,0.645685643
GN 2001,0.53946129
GP 2001,1.074197288
GQ 2001,0.461694197
GR 2001,1.087614553
GS 2001,1.064459931
GT 2001,0.423177285
GU 2001,1.01581722
GW 2001,0.457517757
GY 2001,0.305582015
HK 2001,0.854202505
HM 2001,1.082019337
HN 2001,0.612472489
HR 2001,0.515074535
HT 2001,0.465994811
HU 2001,1
ID 2001,0.370258037
IE 2001,1.107319341
IL 2001,0.60341769
IM 2001,1.064459931
IN 2001,0.54390162
IO 2001,1.064459931
IQ 2001,1
IR 2001,1.309677379
IS 2001,1.128996363
IT 2001,1.087637178
JE 2001,1.064459931
JM 2001,0.660158108
JO 2001,0.472863486
JP 2001,0.956295075
KE 2001,0.327649602
KG 2001,0.390087431
KH 2001,0.56416484
KI 2001,0.461438025
KM 2001,0.515561082
KN 2001,0.653960679
KP 2001,1
KR 2001,1.063069302
KW 2001,0.455017962
KY 2001,1.064459931
KZ 2001,0.36221176
LA 2001,0.326351307
LB 2001,0.60597231
LC 2001,0.552026163
LI 2001,1.080756304
LK 2001,0.427244921
LR 2001,0.408763277
LS 2001,0.539122384
LT 2001,0.450913893
LU 2001,1.070208151
LV 2001,0.440392477
LY 2001,0.684738868
MA 2001,0.694840493
MC 2001,1.074197288
MD 2001,0.27995461
ME 2001,0.343588177
MF 2001,1.074197288
MG 2001,0.519015993
MH 2001,0.701231868
MK 2001,0.456541677
ML 2001,0.47043056
MM 2001,0.452371753
MN 2001,0.314795548
MO 2001,0.450588088
MP 2001,1.01581722
MQ 2001,1.074197288
MR 2001,0.520008905
MS 2001,1.064459931
MT 2001,0.53923858
MU 2001,0.622591298
MV 2001,0.390817502
MW 2001,0.50292239
MX 2001,0.870612958
MY 2001,0.580844828
MZ 2001,1.188072214
NA 2001,0.494754078
NC 2001,1.074197288
NE 2001,0.486818294
NF 2001,1.082019337
NG 2001,0.507122356
NI 2001,0.773508235
NL 2001,1.09193073
NO 2001,1.107069264
NP 2001,0.408531676
NR 2001,1
NU 2001,1.10875751
NZ 2001,1.10875751
OM 2001,0.433758133
PA 2001,0.545243652
PE 2001,0.542252067
PF 2001,1.074197288
PG 2001,0.28621754
PH 2001,0.557748178
PK 2001,0.470293882
PL 2001,1.025454448
PM 2001,1.074197288
PN 2001,1.064459931
PR 2001,0.68282404
PS 2001,0.526677084
PT 2001,1.096616984
PW 2001,0.67216087
PY 2001,0.399661347
QA 2001,0.440860506
RE 2001,1.074197288
RO 2001,0.331483336
RS 2001,0.436223907
RU 2001,0.327388721
RW 2001,0.62658611
SA 2001,0.42285967
SB 2001,0.517326468
SC 2001,0.661751287
SD 2001,0.752539176
SE 2001,1.080518551
SG 2001,0.575904217
SH 2001,1.064459931
SI 2001,1
SJ 2001,1.107069264
SK 2001,1.108373727
SL 2001,0.673565233
SM 2001,1
SN 2001,0.538405004
SO 2001,1
SR 2001,0.391575283
SS 2001,1
ST 2001,0.392493253
SV 2001,0.660343755
SX 2001,1.080140047
SY 2001,1
SZ 2001,0.553567326
TC 2001,1.064459931
TD 2001,0.481956287
TF 2001,1.074197288
TG 2001,0.537738898
TH 2001,0.464108216
TJ 2001,0.506251325
TK 2001,1.10875751
TL 2001,0.582264385
TM 2001,0.339784829
TN 2001,0.943196659
TO 2001,0.522582114
Total DAC 2001,1.026953539
TR 2001,0.601191442
TT 2001,0.631421145
TV 2001,0.436043874
TW 2001,0.910517568
TZ 2001,0.68536841
UA 2001,0.413023663
UG 2001,0.613399516
UM 2001,1.01581722
US 2001,1.01581722
UY 2001,0.582224368
UZ 2001,0.693994248
VA 2001,1.087637178
VC 2001,0.764859266
VE 2001,1.196644585
VG 2001,1.064459931
VI 2001,1.01581722
VN 2001,0.382101474
VU 2001,0.43771956
WF 2001,1.074197288
WS 2001,0.502121025
XK 2001,0.725479143
YE 2001,0.352325869
YT 2001,1.074197288
ZA 2001,0.526618879
ZM 2001,0.433523
ZW 2001,0.228384205
AD 2002,1.221101972
AE 2002,0.509301687
AF 2002,0.581987224
AG 2002,0.72050644
AI 2002,1.114503177
AL 2002,0.536041746
AM 2002,0.500408922
AO 2002,0.39176679
AQ 2002,1.018571431
AR 2002,0.29718174
AS 2002,1.018571431
AT 2002,1.214475377
AU 2002,1.233159037
AW 2002,0.717432968
AX 2002,1.201406797
AZ 2002,0.512081612
BA 2002,0.539997857
BB 2002,0.688742127
BD 2002,0.510470926
BE 2002,1.222378673
BF 2002,0.555273231
BG 2002,0.439306923
BH 2002,0.537351004
BI 2002,0.422303
BJ 2002,0.566050355
BL 2002,1.221101972
BM 2002,1.114503177
BN 2002,0.471958752
BO 2002,0.399102929
BQ 2002,1.224587106
BR 2002,0.397997313
BS 2002,0.766200144
BT 2002,0.665197754
BV 2002,1.160348865
BW 2002,0.589801844
BY 2002,0.504630184
BZ 2002,0.801177742
CA 2002,1.157860859
CC 2002,1.233159037
CD 2002,0.459990188
CF 2002,0.473666279
CG 2002,0.466139319
CH 2002,1.170493773
CI 2002,0.50783467
CK 2002,1.271435176
CL 2002,0.426657386
CM 2002,0.587036069
CN 2002,0.452750494
CO 2002,0.56285687
CR 2002,0.522424108
CU 2002,0.635232529
CV 2002,0.630289654
CW 2002,1.21660333
CX 2002,1.233159037
CY 2002,0.626007876
CZ 2002,1.177202757
DE 2002,1.213399537
DJ 2002,1
DK 2002,1.21660333
DM 2002,0.730280842
DO 2002,0.695443679
DZ 2002,0.569785543
EC 2002,0.476224476
EE 2002,0.40537652
EG 2002,0.673915363
EH 2002,0.693016383
ER 2002,0.149574221
ES 2002,1.245827166
ET 2002,0.383303949
EU Institutions 2002,1.225434185
FI 2002,1.201406797
FJ 2002,0.496498873
FK 2002,1.114503177
FM 2002,0.622879368
FO 2002,1.21660333
FR 2002,1.221101972
GA 2002,0.469767253
GB 2002,1.114503177
GD 2002,0.700259489
GE 2002,0.464607651
GF 2002,1.221101972
GG 2002,1.114503177
GH 2002,0.249415261
GI 2002,1.114503177
GL 2002,1.21660333
GM 2002,0.513364134
GN 2002,0.541764004
GP 2002,1.221101972
GQ 2002,0.349430359
GR 2002,1.240215079
GS 2002,1.114503177
GT 2002,0.459380055
GU 2002,1.018571431
GW 2002,0.474613363
GY 2002,0.30462963
HK 2002,0.834125446
HM 2002,1.233159037
HN 2002,0.612722715
HR 2002,0.576570321
HT 2002,0.454643658
HU 2002,1
ID 2002,0.435646782
IE 2002,1.246351504
IL 2002,0.558301963
IM 2002,1.114503177
IN 2002,0.550399709
IO 2002,1.114503177
IQ 2002,1
IR 2002,0.504327635
IS 2002,1.200462742
IT 2002,1.236978566
JE 2002,1.114503177
JM 2002,0.688030552
JO 2002,0.479570529
JP 2002,1.062774597
KE 2002,0.319647976
KG 2002,0.389933555
KH 2002,0.564607021
KI 2002,0.535827825
KM 2002,0.564797987
KN 2002,0.648295187
KP 2002,1
KR 2002,1.086338349
KW 2002,0.496347422
KY 2002,1.114503177
KZ 2002,0.354912084
LA 2002,0.306780242
LB 2002,0.633243066
LC 2002,0.576324989
LI 2002,1.170493773
LK 2002,0.455629353
LR 2002,0.406370787
LS 2002,0.489104559
LT 2002,0.493285065
LU 2002,1.230272532
LV 2002,0.473616521
LY 2002,0.41853987
MA 2002,0.693016383
MC 2002,1.221101972
MD 2002,0.296139548
ME 2002,0.376422322
MF 2002,1.221101972
MG 2002,0.475254214
MH 2002,0.704065197
MK 2002,0.510185161
ML 2002,0.457678112
MM 2002,0.425088913
MN 2002,0.336767768
MO 2002,0.470821725
MP 2002,1.018571431
MQ 2002,1.221101972
MR 2002,0.521135191
MS 2002,1.114503177
MT 2002,0.580268216
MU 2002,0.632154149
MV 2002,0.419417415
MW 2002,1.077850587
MX 2002,0.891938113
MY 2002,0.628060502
MZ 2002,1.122236927
NA 2002,0.460752126
NC 2002,1.221101972
NE 2002,0.507134513
NF 2002,1.233159037
NG 2002,0.616904878
NI 2002,0.737301815
NL 2002,1.224587106
NO 2002,1.160348865
NP 2002,0.392664399
NR 2002,1
NU 2002,1.271435176
NZ 2002,1.271435176
OM 2002,0.429891766
PA 2002,0.563478037
PE 2002,0.567379292
PF 2002,1.221101972
PG 2002,0.278983596
PH 2002,0.578279397
PK 2002,0.461133011
PL 2002,1.057711466
PM 2002,1.221101972
PN 2002,1.114503177
PR 2002,0.664687075
PS 2002,0.515779259
PT 2002,1.240071714
PW 2002,0.657040131
PY 2002,0.341375122
QA 2002,0.468479823
RE 2002,1.221101972
RO 2002,0.359274863
RS 2002,0.54586557
RU 2002,0.350991552
RW 2002,0.578569622
SA 2002,0.440754011
SB 2002,0.479632975
SC 2002,0.759021917
SD 2002,0.793450315
SE 2002,1.224150908
SG 2002,0.599909021
SH 2002,1.114503177
SI 2002,1
SJ 2002,1.160348865
SK 2002,1.298554267
SL 2002,0.826622218
SM 2002,1
SN 2002,0.562978856
SO 2002,1
SR 2002,0.492588667
SS 2002,1
ST 2002,0.440139244
SV 2002,0.674941311
SX 2002,1.21660333
SY 2002,1
SZ 2002,0.508635967
TC 2002,1.114503177
TD 2002,0.501904052
TF 2002,1.221101972
TG 2002,0.626915873
TH 2002,0.500884754
TJ 2002,0.52198419
TK 2002,1.271435176
TL 2002,0.525954223
TM 2002,0.411054389
TN 2002,0.953019251
TO 2002,0.5085672
Total DAC 2002,1.120444518
TR 2002,0.761187462
TT 2002,0.618750706
TV 2002,0.502327438
TW 2002,0.948110347
TZ 2002,0.67280276
UA 2002,0.421832894
UG 2002,0.616924973
UM 2002,1.018571431
US 2002,1.018571431
UY 2002,0.394220969
UZ 2002,0.566114855
VA 2002,1.236978566
VC 2002,0.80769106
VE 2002,0.898123074
VG 2002,1.114503177
VI 2002,1.018571431
VN 2002,0.386006745
VU 2002,0.461765298
WF 2002,1.221101972
WS 2002,0.495310363
XK 2002,0.542275232
YE 2002,0.368088276
YT 2002,1.221101972
ZA 2002,0.487318629
ZM 2002,0.421626398
ZW 2002,0.210683508
AD 2003,1.11729177
AE 2003,0.562989037
AF 2003,0.648060555
AG 2003,0.749122688
AI 2003,1.14992108
AL 2003,0.661756334
AM 2003,0.522246282
AO 2003,0.401648156
AQ 2003,1.026922007
AR 2003,0.435434281
AS 2003,1.026922007
AT 2003,1.118442905
AU 2003,1.173049069
AW 2003,0.772263324
AX 2003,1.106309592
AZ 2003,0.545964909
BA 2003,0.645340484
BB 2003,0.706053082
BD 2003,0.540451476
BE 2003,1.121415385
BF 2003,0.698121286
BG 2003,0.53458834
BH 2003,0.600222881
BI 2003,0.384367852
BJ 2003,0.691592557
BL 2003,1.11729177
BM 2003,1.14992108
BN 2003,0.509884772
BO 2003,0.398136631
BQ 2003,1.113962275
BR 2003,0.424491538
BS 2003,0.745093592
BT 2003,0.695805292
BV 2003,1.111714183
BW 2003,0.767961152
BY 2003,0.586830289
BZ 2003,0.809413163
CA 2003,1.111387864
CC 2003,1.173049069
CD 2003,0.457545516
CF 2003,0.525546564
CG 2003,0.515950952
CH 2003,1.085360664
CI 2003,0.640244849
CK 2003,1.181553932
CL 2003,0.448849288
CM 2003,0.70759809
CN 2003,0.468398857
CO 2003,0.530488783
CR 2003,0.5269569
CU 2003,0.669392705
CV 2003,0.784956562
CW 2003,1.121388044
CX 2003,1.173049069
CY 2003,0.768799836
CZ 2003,1.137095304
DE 2003,1.111603413
DJ 2003,1
DK 2003,1.121388044
DM 2003,0.774357078
DO 2003,0.526404262
DZ 2003,0.645167841
EC 2003,0.519720188
EE 2003,0.508532128
EG 2003,0.621276153
EH 2003,0.828401979
ER 2003,0.17329665
ES 2003,1.142766012
ET 2003,0.414756318
EU Institutions 2003,1.120580623
FI 2003,1.106309592
FJ 2003,0.604661689
FK 2003,1.14992108
FM 2003,0.626938483
FO 2003,1.121388044
FR 2003,1.11729177
GA 2003,0.576199968
GB 2003,1.14992108
GD 2003,0.740488107
GE 2003,0.51775159
GF 2003,1.11729177
GG 2003,1.14992108
GH 2003,0.295421064
GI 2003,1.14992108
GL 2003,1.121388044
GM 2003,0.446923281
GN 2003,0.601925796
GP 2003,1.11729177
GQ 2003,0.402266152
GR 2003,1.133315802
GS 2003,1.14992108
GT 2003,0.466568459
GU 2003,1.026922007
GW 2003,0.549124601
GY 2003,0.308242049
HK 2003,0.796043298
HM 2003,1.173049069
HN 2003,0.61828941
HR 2003,0.709505524
HT 2003,0.388595265
HU 2003,1.164665325
ID 2003,0.500223571
IE 2003,1.106250169
IL 2003,0.585317458
IM 2003,1.14992108
IN 2003,0.625745935
IO 2003,1.14992108
IQ 2003,1
IR 2003,0.539182834
IS 2003,1.121470693
IT 2003,1.127408406
JE 2003,1.14992108
JM 2003,0.65404977
JO 2003,0.482360132
JP 2003,1.060353882
KE 2003,0.360387847
KG 2003,0.466115738
KH 2003,0.576029911
KI 2003,0.645244591
KM 2003,0.710403275
KN 2003,0.618696224
KP 2003,1
KR 2003,1.070743951
KW 2003,0.604864471
KY 2003,1.14992108
KZ 2003,0.404541827
LA 2003,0.333317086
LB 2003,0.642036864
LC 2003,0.629715929
LI 2003,1.085360664
LK 2003,0.500407671
LR 2003,0.31601067
LS 2003,0.72473024
LT 2003,0.608450823
LU 2003,1.132400344
LV 2003,0.544306016
LY 2003,0.541924609
MA 2003,0.828401979
MC 2003,1.11729177
MD 2003,0.327460054
ME 2003,0.491023055
MF 2003,1.11729177
MG 2003,0.677496291
MH 2003,0.676922861
MK 2003,0.618755818
ML 2003,0.536752259
MM 2003,0.586018876
MN 2003,0.367308046
MO 2003,0.483639212
MP 2003,1.026922007
MQ 2003,1.11729177
MR 2003,0.610975234
MS 2003,1.14992108
MT 2003,0.655582683
MU 2003,0.747426267
MV 2003,0.458598733
MW 2003,0.972848266
MX 2003,0.842865931
MY 2003,0.651226848
MZ 2003,1.142016047
NA 2003,0.645918921
NC 2003,1.11729177
NE 2003,0.619614338
