Donor,donorcountryid
Office of the Representative of Denmark to Afghanistan,DK
The Emergency Management Agency of Greater Copenhagen,DK
Spain,ES
"Council of A Coruna, Spain",ES
"Council of Huelva, Spain (thru FAMSI)",ES
"Vitoria-Gasteiz, Municipality of (Spain)",ES
Agencia Española de Cooperación Internacional,ES
Catalan Agency for Development Cooperation,ES
Spanish Agency InterNational Cooperation,ES
European Commission,EU Institutions
European Commission's Humanitarian Aid and Civil Protection Department,EU Institutions
European Commission EuropeAid Development and Cooperation,EU Institutions
European Commission Rapid Reaction Mechanism,EU Institutions
European Commission Civil Protection Mechanism,EU Institutions
European Commission Directorate General for Development,EU Institutions
European Commission - EU Facility for Refugees in Turkey,EU Institutions
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),EU Institutions
European Commission Directorate-General External Relations,EU Institutions
EU Special Representative,EU Institutions
EU/DFSIS,EU Institutions
EuropeAid,EU Institutions
European Agency for Reconstruction,EU Institutions
European Centre for Disease Prevention and Control,EU Institutions
European Commission EuropeAid Co-operation Office,EU Institutions
European Commission Humanitarian Aid Office,EU Institutions
European Union,EU Institutions
European Union Border Assistance Mission,EU Institutions
European Union Programme Support Unit 1,EU Institutions
European Union Programme Support Unit 2,EU Institutions
MADAD FUND,EU Institutions
MIC EU Civil Protection,EU Institutions
PEGASE,EU Institutions
Stability Pact,EU Institutions
European Union trust fund Bekou in CAR,EU Institutions
Finland,FI
France,FR
AFD,FR
France Cooperation InterNationale,FR
France Coopération InterNationale,FR
Agence Française de Développement,FR
Expertise France,FR
Reunion,FR
Comité Interministériel pour l’Aide Alimentaire,FR
"National Lottery Community Fund, the UK",GB
United Kingdom,GB
ECHO DFID contribution,GB
British Embassy in Khartoum (Sudan),GB
United Kingdom ,GB
"United Kingdom - Dept. for InterNational Development - Conflict, Humanitarian and Security Department",GB
United Kingdom Department for InterNational Development,GB
United Kingdom Ministry of Defence,GB
Greece,GR
Hungary,HU
Ireland,IE
Ireland Aid Mission,IR
Iceland,IS
Icelandic Crisis Response Unit,IS
ILR,IS
Italy,IT
Italian Agency for Food Aid (AGEA),IT
Italian Development Cooperation,IT
Japan,JP
"Hyogo Prefecture, Japan",JP
Japan Disaster Relief,JP
Japan International Cooperation Agency,JP
Japan Self Defense Forces,JP
JICA -  Japan InterNational Cooperation Agency,JP
"Korea, Republic of",KR
Ulsan Metropolitan City,KR
Luxembourg,LU
Coopération Humanitaire Luxembourg,LU
Kuwait Zakat House,NDD
Kuwait Awqaf General Secretariat,NDD
Isle of Man,NDD
Saudi Arabia (Kingdom of),NDD
United Arab Emirates,NDD
Belarus,NDD
Russian Federation,NDD
Malaysia,NDD
Chile,NDD
Liechtenstein,NDD
San Marino,NDD
Israel,NDD
India,NDD
Turkey,NDD
Cyprus,NDD
Monaco,NDD
Romania,NDD
Colombia,NDD
Egypt,NDD
China,NDD
Viet Nam,NDD
Bahamas,NDD
Singapore,NDD
Kuwait,NDD
Mauritius,NDD
Thailand,NDD
Qatar,NDD
Nigeria,NDD
Moldova,NDD
Rwanda,NDD
Libya,NDD
Burundi,NDD
Sudan,NDD
Tunisia,NDD
Dominican Republic,NDD
Gabon,NDD
Swaziland,NDD
Angola,NDD
Seychelles,NDD
Namibia,NDD
Botswana,NDD
Zambia,NDD
Lesotho,NDD
Mauritania,NDD
Brazil,NDD
Oman,NDD
South Africa,NDD
Malawi,NDD
Morocco,NDD
Kenya,NDD
Ghana,NDD
Latvia,NDD
Bangladesh,NDD
Cuba,NDD
Venezuela,NDD
Costa Rica,NDD
Ecuador,NDD
Peru,NDD
Mexico,NDD
Argentina,NDD
Holy See,NDD
Nicaragua,NDD
Honduras,NDD
Guatemala,NDD
Panama,NDD
Pakistan,NDD
Armenia,NDD
Algeria,NDD
Nepal,NDD
Estonia,NDD
Kazakhstan,NDD
Trinidad and Tobago,NDD
Indonesia,NDD
Lithuania,NDD
Eritrea,NDD
Andorra,NDD
Brunei Darussalam,NDD
Malta,NDD
Faeroe Islands,NDD
El Salvador,NDD
Iran,NDD
Iraq,NDD
Cameroon,NDD
Yemen,NDD
Cook Islands,NDD
Fiji,NDD
Uganda,NDD
Jordan,NDD
Cote d'Ivoire,NDD
French Polynesia,NDD
Zimbabwe,NDD
Madagascar,NDD
Syrian Arab Republic,NDD
"Palestinian territory, occupied",NDD
Papua New Guinea,NDD
Mozambique,NDD
"Korea, Democratic People's Republic of",NDD
Lao (People's Democratic Republic),NDD
"Macedonia, Former Yugoslav Republic of",NDD
Philippines,NDD
Azerbaijan,NDD
Afghanistan,NDD
Ukraine,NDD
Kyrgyzstan,NDD
Croatia,NDD
Albania,NDD
Equatorial Guinea,NDD
Timor Leste,NDD
Lebanon,NDD
Guyana,NDD
Senegal,NDD
Bulgaria,NDD
Palau,NDD
Serbia and Montenegro,NDD
Mali,NDD
Tuvalu,NDD
Cambodia,NDD
"Micronesia,  Federated States of",NDD
Bolivia,NDD
Liberia,NDD
Bahrain,NDD
Tajikistan,NDD
Sri Lanka,NDD
Grenada,NDD
Djibouti,NDD
Antigua and Barbuda,NDD
"Congo, Republic of",NDD
Hong Kong Special Administrative Region of the People's Republic of China,NDD
Jamaica,NDD
Puerto Rico,NDD
Turkmenistan,NDD
Tanzania,NDD
Mongolia,NDD
Bhutan,NDD
Bosnia & Herzegovina,NDD
Montenegro,NDD
Samoa,NDD
Tonga,NDD
Uzbekistan,NDD
Burkina Faso,NDD
Myanmar,NDD
Benin,NDD
Saint Lucia,NDD
Haiti,NDD
Belize,NDD
Georgia,NDD
Barbados,NDD
Serbia,NDD
Maldives,NDD
Chad,NDD
"Congo, Democratic Republic of",NDD
Ethiopia,NDD
Republic of South Sudan,NDD
Uruguay,NDD
League of Arab States,NDD
National Commission for Lebanese Women,NDD
Central African Republic,NDD
Khazanah Nasional,NDD
Togo,NDD
Saint Vincent and the Grenadines,NDD
Nauru,NDD
Niger,NDD
Sierra Leone,NDD
British Virgin Islands,NDD
Dominica,NDD
Turks and Caicos Islands,NDD
Paraguay,NDD
Kuwait Fund for Arab Economic Development,NDD
Al Awqaf General Secretariat,NDD
Al-Zakat House,NDD
Abu Dhabi Tourism Authority,NDD
Afghan Ministry of Planning,NDD
BAPPENAS - Indonesia National Development Planning Agency,NDD
Bidan Kesehatan Department of Health Indonesia,NDD
Bilateral (affected government),NDD
Bilateral (to affected government),NDD
CAIPA,NDD
Cameroun,NDD
Cascos Blancos - Argentina,NDD
Centre for the Coordination of Natural Disaster Prevention in Central America,NDD
Chad ,NDD
"Comite de crise ""Nyiragongo 2002""",NDD
Coordinadora Nacional para la Reduccion de Desastres,NDD
Croatian Mine Action Center,NDD
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",NDD
Department of Settlement and Regional Infrastructure (Kimpraswil),NDD
Disaster Prevention and Preparedness Commission Ethiopia,NDD
El Obeid,NDD
EMERCOM,NDD
EMERCOM/Mongolia,NDD
EMERCOM/Russian Federation,NDD
Emergencies Unit for Ethiopia,NDD
Equatorial Guinea ,NDD
Estonian Disaster Relief Team ,NDD
Estonian Public Service Academy,NDD
Estonian Public Service Academy ,NDD
Estonian Rescue Board ,NDD
Faroe Islands,NDD
Gambia,NDD
GAPAR - Syrian General Authority for Palestine Arab Refugees,NDD
Gaza Zakat Committee,NDD
General Administration for Palestinian Arab Refugees,NDD
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,NDD
Govt of Ethiopia Disaster Prevention and Preparedness Commission,NDD
Govt of Indonesia: Bidan Kesehatan Department of Health,NDD
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),NDD
"Guatemala General Council in Miami, Florida",NDD
Humanitarian Aid Commission,NDD
Igarapé,NDD
Instituto Colombiano de Bienestar Familial,NDD
Joint Saudi Committee for Kosovo Relief/Skopje,NDD
Jordanian Civil Defense,NDD
Jordanian National Commission for Women,NDD
Lesotho Ministry of Agriculture and CARE Lesotho,NDD
Macedonia Centre for InterNational Cooperation,NDD
"Macedonia, Former Yugoslav Republic of ",NDD
Maltese Aid Agency,NDD
Ministry for Transportation and Infrastructure,NDD
Ministry of Agriculture and Irrigation,NDD
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",NDD
Ministry of Education and Higher Education,NDD
Ministry of Rural Rehabilitation and Development Afghanistan,NDD
NACSA - National Commission for Social Action - Sierra Leone  ,NDD
National Agency for the Prohibition of Traffic in Persons - Nigeria,NDD
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",NDD
National Disaster Response Coordinating Council,NDD
National Emergency Commission of Costa Rica,NDD
National Office for Electoral Process,NDD
National Primary Health Care Development Agency,NDD
National Space Agency of Ukraine,NDD
NEMA - National Emergency Management Agency,NDD
Nicaraguan Forestry Institute,NDD
Ninôs del Cusco,NDD
Office of Preparedness for Disasters and Emergencies,NDD
Office of the Representative of the Dalai Lama,NDD
Order of Malta,NDD
PAICMA,NDD
Palestinian Authority,NDD
Prefecto of the Department of La Paz,NDD
Prime Minister's National Relief Fund/India,NDD
Programa de Reducción del Riesgo de Desastres,NDD
Regional Govt of Lambayeque (Peru),NDD
Saint Kitts and Nevis,NDD
Saudi Committee,NDD
Scottish Executive,NDD
Serbia ,NDD
Solidarity Organization for Rehabilitation of Afghanistan,NDD
St. Lucia National Emergency Management Organisation,NDD
Suriname ,NDD
TAIPEI FIRE SERVICE,NDD
Taiwan (Province of China),NDD
Taiwan ICDF,NDD
TNI Navy,NDD
Union of South American Nations,NDD
Uruguay ,NDD
Uzbekistan (Government of),NDD
White Helmets Commission,NDD
Suriname,NDD
Netherlands,NL
Dutch InterNational Aid,NL
Netherlands Embassy in Namibia,NL
Norway,NO
BLD - Barne- og likestillingsdepartementet,NO
Meteorologisk Institutt,NO
Sivilombudsmannen,NO
Statens Forurensningstilsyn,NO
Norfund,NO
Norway Royal Ministry of Foreign Affairs,NO
Norwegian Search and Rescue,NO
Forsvarets forskningsinstitutt,NO
New Zealand,NZ
Poland,PL
Portugal,PT
Portuguese Institute for Cooperation,PT
Sweden,SE
Swedish Civil Contingencies Agency (MSB),SE
Slovenia,SI
Slovakia,SK
ACT Alliance / Diakonie Katastrophenhilfe,Total DAC
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),Total DAC
Rahma International Society,Total DAC
International Relief Teams,Total DAC
Solidarités International,Total DAC
Humanitarian Relief Society,Total DAC
Kuwait Patients Helping Fund,Total DAC
Children on the Edge,Total DAC
Street Child Organization,Total DAC
Première Urgence Internationale,Total DAC
Stichting War Child,Total DAC
Base Net Organization,Total DAC
Ayuda en Acción,Total DAC
Secours Catholique - Caritas France,Total DAC
Windy International Youth Foundation,Total DAC
Air Serv International,Total DAC
Solidarités International (SI),Total DAC
Union of Relief Organizations - Lebanon,Total DAC
Grupo de Apoio í  Criança (GAC),Total DAC
Global Center on Cooperative Security,Total DAC
Gaddafi International Charity and Development Foundation (GICDF),Total DAC
BRAC,Total DAC
International Development and Relief Foundation,Total DAC
Médicos del Mundo Spain,Total DAC
African Humanitarian Corps,Total DAC
Fundación Entreculturas - Fe y Alegrí­a,Total DAC
Misean Cara,Total DAC
Crown Agents,Total DAC
UK Jesuit Missions,Total DAC
Spanish Jesuit Missions,Total DAC
Bündnis Entwicklung Hilft,Total DAC
War Child,Total DAC
Swasia Charity Foundation,Total DAC
Syrian American Medical Society Foundation,Total DAC
Syria Relief and Development Organization (Sosyal Refah DerneÄŸÄ±),Total DAC
Doctors of the World Turkey ( Dünya DoktorlarÄ± DerneÄŸi ),Total DAC
USA Friends of WFP,Total DAC
WPD,Total DAC
Diakonia World Federation,Total DAC
The Korean Medical Association,Total DAC
One Buddhism,Total DAC
"Ibero-American States Organization for Education, Science & Culture",Total DAC
"Greek Orthodox Ladies Philoptochos Society, Inc.",Total DAC
Diakonie Katastrophenhilfe,Total DAC
UK for UNHCR,Total DAC
USA Friends Private,Total DAC
Concern Worldwide,Total DAC
US Fund for UNICEF,Total DAC
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",Total DAC
Movement Centre of Jeju Citizen to Cooperation between South and North,Total DAC
Korea Campus Crusade for Christ,Total DAC
Parthenon Trust,Total DAC
Africa Muslims Agency (Johannesburg),Total DAC
Samenwerkende Hulporganisaties,Total DAC
Organisation Internationale de la Francophonie,Total DAC
"Hand in Hand Appeal, Syria",Total DAC
Baha'i International Community,Total DAC
USA for UNHCR,Total DAC
Disaster Resource Network,Total DAC
Fondazione Un Raggio di Luce,Total DAC
ACT Alliance / Church World Service,Total DAC
Médecins sans Frontières - Belgium,Total DAC
Deutsche Welthungerhilfe e.V. (German Agro Action),Total DAC
"Operation Helping Hands, American Samoa",Total DAC
Feed the Hungry,Total DAC
Girls are a Treasure Network,Total DAC
Deniz Feneri Association,Total DAC
"INTERPAL, UK",Total DAC
Human Care International,Total DAC
Jordan Hashemite Charity Organization,Total DAC
Life for Relief and Development,Total DAC
SALAM YA SUGHAR FUND,Total DAC
Agency for Technical Cooperation and Development,Total DAC
Foundation for HR and Freedoms and Humanitarian Relief,Total DAC
JORDAN RIVER FOUNDATION,Total DAC
Korean Foundation for International Healthcare,Total DAC
Save the Children,Total DAC
Islamic Relief Worldwide,Total DAC
Sovereign Military Order of Malta,Total DAC
Aayo Development Foundation,Total DAC
Canadian Coalition,Total DAC
Friends of UNFPA,Total DAC
Don Bosco Mondo Prokur,Total DAC
Chaine du Bonheur,Total DAC
Mahvash and Jahangir Siddiqui Foundation,Total DAC
Al ghara Charity Organization-Jordan,Total DAC
GlobalGiving,Total DAC
Community Chest Korea,Total DAC
World Jewish Relief,Total DAC
ASYA SAR - KYM,Total DAC
Fuel Relief Fund,Total DAC
Light for the World,Total DAC
Caritas Japan,Total DAC
Caritas Italy,Total DAC
Caritas Korea,Total DAC
Qatar Charity,Total DAC
ACT Alliance / United Church of Canada,Total DAC
Korean Sharing Movement,Total DAC
KADECO,Total DAC
World Vision Korea,Total DAC
South-North Sharing Campaign for Peace and Reunification,Total DAC
One Korea Buddhist Movement,Total DAC
Okedongmu Children in Korea,Total DAC
Canadian Food Grains Bank,Total DAC
Forest for Peace,Total DAC
Good Neighbours Inc,Total DAC
Japan Committee for Refugee Relief,Total DAC
Action by Churches Together (ACT),Total DAC
International Assistance Mission,Total DAC
Catholic Relief Services,Total DAC
World Vision International,Total DAC
OXFAM GB,Total DAC
World Church Relief Service,Total DAC
CARE International,Total DAC
Adventist Development and Relief Agency,Total DAC
Médecins sans Frontières,Total DAC
Gobi Regional Economic Growth Initiative,Total DAC
GOAL,Total DAC
TEARFUND,Total DAC
ACT Alliance / Amity Foundation,Total DAC
Salvation Army,Total DAC
Children's Home Society of Minnesota,Total DAC
ACT Alliance / United Methodist Committee on Relief,Total DAC
Soka Gakkai,Total DAC
National Agricultural Cooperative Federation,Total DAC
Friends of Love,Total DAC
Korea Buddhist Order Association,Total DAC
The Movement Center of Jeju Citizen to Help the North Korea,Total DAC
Korean Farmers' Association,Total DAC
CARITAS / Catholic Relief Services,Total DAC
Caritas/MCC,Total DAC
The Nat'l Council of Saemaul Undong  Movement in Korea,Total DAC
Caritas Hungary,Total DAC
Hungarian Malteser Charity Service,Total DAC
ACT Alliance / Hungarian Interchurch Aid,Total DAC
World Animal Protection,Total DAC
ACT Alliance / Finn Church Aid,Total DAC
Caritas Austria,Total DAC
Intl Humanitarian Org World View,Total DAC
Secours Catholique – Caritas France,Total DAC
"Central Asian Free Exchange, USA",Total DAC
"Joint Development Associates, USA",Total DAC
Médecins sans Frontières - Netherlands,Total DAC
Caritas India,Total DAC
ACT Alliance / Lutheran World Federation,Total DAC
Oxfam India,Total DAC
Project Aparajita - VHAI,Total DAC
Concern India,Total DAC
ACT Alliance / Diakonie Emergency Aid,Total DAC
Médecins du Monde,Total DAC
Norwegian People's Aid,Total DAC
Caritas Hong kong,Total DAC
Northeast Asia Forest Forum,Total DAC
Aga Khan Development Network,Total DAC
FOCUS International,Total DAC
Triangle Génération Humanitaire,Total DAC
OCHA NGO Funds,Total DAC
Caritas New Zealand,Total DAC
Private Agencies Collaborating Together,Total DAC
Rotary International,Total DAC
Catholic Organisation for Relief and Development Aid,Total DAC
ACT Alliance / Christian Aid,Total DAC
Baptist World Aid,Total DAC
Action Contre la Faim,Total DAC
Assistência Médica Internacional (AMI),Total DAC
SAH - Schweizerisches Arbeiterhilfswerk,Total DAC
International Rescue Committee,Total DAC
Trocaire,Total DAC
ACT Alliance / Norwegian Church Aid,Total DAC
OXFAM Netherlands (NOVIB),Total DAC
Counterpart International,Total DAC
Telecom Sans Frontieres,Total DAC
Americares,Total DAC
Rotary Club of Shanghai,Total DAC
Mennonite Central Committee,Total DAC
National Council of Saemaul Undong Movement,Total DAC
Korea Food for the Hungry International,Total DAC
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,Total DAC
Plan International,Total DAC
AlertNet,Total DAC
War Child Holland,Total DAC
ACT Alliance / Diakonie,Total DAC
OXFAM/Community Aid Abroad (OXFAM-Australia),Total DAC
Secours Populaire Francais,Total DAC
Action d'Urgence International,Total DAC
Medilor,Total DAC
Terre des Hommes International,Total DAC
Palestine Right to Return Coalition,Total DAC
Operation USA,Total DAC
ACT Alliance / Kerk in Actie - Netherlands,Total DAC
ADRA/HELP International,Total DAC
Disasters Emergency Committee (UK),Total DAC
Canadian Development and Peace,Total DAC
Secours Islamique,Total DAC
Children International,Total DAC
Food for the Hungry International,Total DAC
Hungarian Baptist  Aid Organisation,Total DAC
Mercy Corps,Total DAC
One Shekel Campaign in WB,Total DAC
Food for the Poor,Total DAC
OXFAM America,Total DAC
OXFAM Ireland,Total DAC
OXFAM Hong Kong,Total DAC
CARITAS,Total DAC
World Vision Australia,Total DAC
World Vision Hong Kong,Total DAC
World Vision UK,Total DAC
World Vision USA,Total DAC
World Vision Canada,Total DAC
Arab Association for Human Rights,Total DAC
World Vision Sri Lanka,Total DAC
FOCUS Humanitarian Aid,Total DAC
Lighthouse Association,Total DAC
ACF - France,Total DAC
Earthquake Relief Fund for Orphans,Total DAC
Catholic Agency for Overseas Development,Total DAC
Norwegian Refugee Council,Total DAC
International Relief and Development,Total DAC
International Medical Corps,Total DAC
International Catholic Migration Commission,Total DAC
ACT Alliance / Interchurch Organisation for Development Co-operation,Total DAC
Oxfam Intermon,Total DAC
Green Hope,Total DAC
Firemen without Borders,Total DAC
Australian Aid International,Total DAC
Hope International Development Agency,Total DAC
Medical Emergency Relief International,Total DAC
Ayuda en Accion,Total DAC
World Wildlife Fund,Total DAC
Cooperazione Internazionale - COOPI,Total DAC
CARE Nepal,Total DAC
Plan Niger,Total DAC
Médecins sans Frontières - Switzerland,Total DAC
Swedish Cooperative Centre,Total DAC
NGO Consortium,Total DAC
CARE Australia,Total DAC
Christian Friends of Korea,Total DAC
Medical Assistance Programs International,Total DAC
Caritas Spain,Total DAC
Muslim Aid,Total DAC
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,Total DAC
Humanity First USA,Total DAC
ACT Alliance / Church of Sweden,Total DAC
Caritas Peru,Total DAC
Development and Peace,Total DAC
World Vision Taiwan,Total DAC
Light Force International,Total DAC
Lion Aid,Total DAC
Dubai Cares (UAE),Total DAC
PMU-Interlife,Total DAC
Amitie sans Frontieres,Total DAC
American Refugee Committee,Total DAC
Mercy-USA for Aid and Development,Total DAC
SOS International,Total DAC
Direct Relief,Total DAC
Tear Australia,Total DAC
Welfare Association,Total DAC
Linkage Trust,Total DAC
AMURT International,Total DAC
Project HOPE,Total DAC
ACT Alliance / DanChurchAid,Total DAC
Medical Teams International,Total DAC
Plan Haiti,Total DAC
Health Partners International Canada,Total DAC
GlobalMedic,Total DAC
HIVOS,Total DAC
ACF - Spain,Total DAC
International Islamic Relief Organization,Total DAC
Partner Aid International e.V.,Total DAC
ACT Alliance / Lutheran World Relief,Total DAC
International Orthodox Christian Charities,Total DAC
OXFAM International,Total DAC
Medical Aid for Palestinians,Total DAC
Samaritan's Purse,Total DAC
ZOA,Total DAC
Spanish Aced,Total DAC
Arbeiter-Samariter-Bund Deutschland e.V,Total DAC
Mercy Malaysia,Total DAC
People in Need,Total DAC
Aktion Deutschland Hilft,Total DAC
ChildFund International,Total DAC
Human Concern International,Total DAC
Doctors Worldwide,Total DAC
KINDER USA,Total DAC
"Mercy Relief, Singapore",Total DAC
ShelterBox,Total DAC
World Vision Support Offices,Total DAC
Operation Blessing International,Total DAC
Consortium of British Humanitarian Agencies,Total DAC
Actions Médicales Internationale,Total DAC
CARITAS INTERNATIONALIS,Total DAC
Organization for Social Development Initiatives,Total DAC
International Islamic Charitable Organization,Total DAC
Caritas Switzerland,Total DAC
Al Najat Charitable Society,Total DAC
Patient's Help Fund,Total DAC
Shaik Abdallah Nouri Association,Total DAC
Arab Medical Union,Total DAC
Mekka Association,Total DAC
Start Fund,Total DAC
Rural Initiatives in Sustainability and Empowerment,Total DAC
NGOs (details not yet provided),Total DAC
Helping Hand for Relief and Development,Total DAC
European Children's Trust,Total DAC
Communicating with Disaster Affected Communities,Total DAC
Medico International,Total DAC
Dutch Relief Alliance,Total DAC
British Council,Total DAC
ACT Alliance / Bread for the World,Total DAC
International Fund for Animal Welfare,Total DAC
OXFAM,Total DAC
SOS Kinderdorf,Total DAC
Mercy Corps Scotland,Total DAC
Practical Action (formerly Intermediate Technology Development Group),Total DAC
World Relief,Total DAC
World Vision Sudan,Total DAC
CARE International Switzerland in Sudan,Total DAC
Associazione di Cooperazione allo Sviluppo,Total DAC
ACT Alliance,Total DAC
World Poultry Foundation,Total DAC
ACT Alliance / World Renew,Total DAC
Canadian Catholic Organization for Development and Peace (Caritas Canada),Total DAC
Caritas Germany (DCV),Total DAC
Fonds Social de la République Démocratique du Congo,Total DAC
Associazione Volontari per il Servizio Internazionale,Total DAC
action medeor e.V.,Total DAC
Relief International,Total DAC
"Voice for Peace, Protection and Development",Total DAC
Al-Khair Foundation,Total DAC
IsraAID,Total DAC
Dorcas Aid International,Total DAC
Pax Christi e.V,Total DAC
American Jewish World Service,Total DAC
Aid Development Botswana,Total DAC
Secours Islamique France,Total DAC
Interchurch Medical Assistance World Health,Total DAC
"ACT Alliance / Diakonia, Sweden",Total DAC
Johanniter Unfallhilfe e.V.,Total DAC
Plan USA,Total DAC
Internews,Total DAC
MEDAIR,Total DAC
Fondation Caritas Luxembourg,Total DAC
Gruppo Volontariato Civile,Total DAC
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,Total DAC
ACT Alliance / Diakonie Austria,Total DAC
Water Missions International,Total DAC
Danish Refugee Council,Total DAC
INTERSOS Humanitarian Aid Organization,Total DAC
Population Services International,Total DAC
A Call to Serve InterNational,Total DAC
A.I.M.E! International e.V. (Deutschland),Total DAC
Aadamiga USA,Total DAC
AAGAHI,Total DAC
Aamin Voluntary Relief Organization,Total DAC
ABAAD-Resource Center for Gender Equality,Total DAC
ABC Children's Aid,Total DAC
Abraham's Oasis,Total DAC
Abs Development for Women and Children,Total DAC
Abyei Community Action for Development,Total DAC
ACBAR - Agency Coordinating Body for Afghan Relief,Total DAC
Access Aid and Development,Total DAC
Access Development and Relief Organization,Total DAC
Accio Solidaria IGMAN,Total DAC
Accion Contra el Hambre,Total DAC
ACDI/VOCA,Total DAC
ACE Charitable Foundation,Total DAC
Aceh’s People Forum,Total DAC
ACF - Canada,Total DAC
ACF - UK,Total DAC
ACF - USA,Total DAC
ACFOA,Total DAC
ACH - UK,Total DAC
ACT Alliance ,Total DAC
ACT Alliance / Act for Peace,Total DAC
ACT Alliance / Canadian Lutheran World Relief,Total DAC
ACT Alliance / Christian Aid Ministries Nehemia,Total DAC
ACT Alliance / Christian Aid UK,Total DAC
ACT Alliance / Christian Care,Total DAC
ACT Alliance / Christian Commission for Development in Bangladesh,Total DAC
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),Total DAC
ACT Alliance / Church World Service - Indonesia,Total DAC
ACT Alliance / Ethiopian Orthodox Church,Total DAC
ACT Alliance / Finnchurchaid/ Mines Advisory Group,Total DAC
ACT Alliance / Icelandic Church Aid,Total DAC
ACT Alliance / Life With Dignity,Total DAC
ACT Alliance / Lutheran Development Service,Total DAC
ACT Alliance / Lutheran World Federation Nepal,Total DAC
ACT Alliance / Lutheran World Relief (LWR/Canada),Total DAC
ACT Alliance / National Council of Churches of Kenya,Total DAC
ACT Alliance / Presbyterian Disaster Assistance,Total DAC
ACT Alliance / Solidarité Protestante,Total DAC
ACT Alliance / Sudan Council of Churches,Total DAC
ACT Alliance / YAKKUM Emergency Unit,Total DAC
ACT Netherlands,Total DAC
ACT/Diakonie,Total DAC
Action Against Disasters Somalia,Total DAC
Action Against Hunger,Total DAC
Action Aid,Total DAC
Action Chretienne pour combattre la pauvretre et l'analphabetisme,Total DAC
Action contre la Faim / contra Hambre / Against Hunger,Total DAC
Action Contre la Faim-Espagne,Total DAC
Action Contre la Faim-France,Total DAC
Action Contre la Pauvreté (ACP),Total DAC
Action de Dévelopement Durable en Afrique,Total DAC
Action d'Espoir,Total DAC
Action for Community Transformation Organization - Afghanistan,Total DAC
Action for Development,Total DAC
Action for Peace and Sustainable Development,Total DAC
Action for Relief and Development,Total DAC
Action on Armed Violence,Total DAC
Action pour le Bien Etre Communautaire (ABC),Total DAC
Action pour le Développement Intégral au Kivu,Total DAC
Action pour un Monde Uni,Total DAC
Action Solidarité Tiers Monde,Total DAC
ActionAid,Total DAC
ActionAid InterNational NEPAL,Total DAC
ACTIONAID InterNational ZIMBABWE,Total DAC
ActionAid-Uganda,Total DAC
Actions et Interventions pour le Développement et l'Encadrement Social,Total DAC
Actions pour la Protection et l’Encadrement de l’Enfant,Total DAC
